band5,band6,band7,band8,class
98,86,74,58,cloud
110,98,86,68,cloud
121,107,92,74,cloud
126,112,97,81,cloud
133,121,107,89,cloud
143,130,118,96,cloud
150,137,124,101,cloud
151,135,122,103,cloud
147,130,116,98,cloud
138,122,105,86,cloud
128,114,97,80,cloud
122,108,95,78,cloud
120,108,96,78,cloud
120,108,96,78,cloud
117,102,92,77,cloud
101,90,77,60,cloud
103,89,78,59,cloud
99,86,74,59,cloud
101,88,74,61,cloud
110,97,82,67,cloud
122,109,94,77,cloud
130,120,107,91,cloud
146,134,121,103,cloud
157,141,129,110,cloud
164,148,132,113,cloud
169,152,133,114,cloud
168,151,134,111,cloud
155,142,127,103,cloud
139,127,116,92,cloud
133,120,112,90,cloud
134,120,109,90,cloud
133,118,101,83,cloud
131,117,99,81,cloud
127,116,101,81,cloud
124,112,100,80,cloud
118,104,93,74,cloud
94,84,72,55,cloud
98,87,77,60,cloud
107,95,84,66,cloud
109,94,82,67,cloud
107,94,81,67,cloud
106,94,82,67,cloud
108,99,87,73,cloud
126,115,103,87,cloud
144,132,120,102,cloud
162,147,133,117,cloud
174,158,144,125,cloud
182,166,150,127,cloud
183,169,151,125,cloud
180,165,148,121,cloud
175,159,147,120,cloud
162,144,130,108,cloud
150,134,117,101,cloud
152,135,119,101,cloud
148,132,118,99,cloud
140,130,118,99,cloud
140,130,120,100,cloud
142,126,118,100,cloud
138,121,110,92,cloud
121,107,92,76,cloud
103,90,71,55,cloud
112,98,91,76,cloud
113,99,88,76,cloud
119,106,92,77,cloud
121,106,91,75,cloud
121,109,93,76,cloud
122,111,99,79,cloud
123,113,106,88,cloud
140,128,118,103,cloud
164,147,132,115,cloud
179,163,146,125,cloud
196,180,160,134,cloud
200,186,167,139,cloud
198,183,166,136,cloud
191,171,155,130,cloud
190,173,154,132,cloud
186,166,148,127,cloud
169,154,137,116,cloud
166,153,138,114,cloud
164,154,143,116,cloud
164,151,142,116,cloud
167,153,141,116,cloud
166,151,137,113,cloud
161,146,130,104,cloud
143,131,116,90,cloud
113,104,92,72,cloud
101,89,83,65,cloud
89,75,69,53,cloud
74,60,50,37,cloud
147,130,120,99,cloud
145,127,116,100,cloud
140,125,111,97,cloud
141,128,112,93,cloud
138,127,113,94,cloud
135,125,116,98,cloud
143,130,122,103,cloud
152,138,127,110,cloud
167,154,140,122,cloud
185,170,153,130,cloud
197,181,163,137,cloud
208,192,173,144,cloud
213,196,178,150,cloud
213,193,175,149,cloud
202,183,165,142,cloud
199,182,161,136,cloud
202,183,161,133,cloud
190,174,158,131,cloud
185,170,158,133,cloud
186,169,156,131,cloud
185,166,148,125,cloud
186,168,147,121,cloud
183,167,145,119,cloud
178,160,144,117,cloud
166,151,139,111,cloud
145,128,123,100,cloud
134,118,111,91,cloud
118,103,90,70,cloud
88,75,61,42,cloud
72,60,47,29,cloud
70,60,46,28,cloud
69,59,46,27,cloud
166,147,127,107,cloud
170,153,132,110,cloud
168,153,137,113,cloud
165,152,140,117,cloud
166,150,142,121,cloud
169,153,142,124,cloud
176,158,144,127,cloud
