#REF_BACEN;NU_ORDEM;NU_INDICE;GT_GEOMETRIA
513320053;1;0;POLYGON ((-41.415449 -21.063423 0,-41.415176 -21.064579 0,-41.414682999999897 -21.06489 0,-41.414307 -21.065582 0,-41.414017 -21.066923 0,-41.413991 -21.067193 0,-41.413798 -21.067466 0,-41.413677 -21.067447 0,-41.413543 -21.067629 0,-41.413603 -21.067731 0,-41.41374 -21.067826 0,-41.413879 -21.068495 0,-41.413739 -21.068661 0,-41.413521 -21.068429 0,-41.413208 -21.068582 0,-41.413211 -21.068727 0,-41.412888 -21.069016999999899 0,-41.412561 -21.069152 0,-41.411575 -21.069069 0,-41.411117 -21.068991 0,-41.410761 -21.069486 0,-41.409365 -21.069766 0,-41.407792 -21.070954 0,-41.405824 -21.069843 0,-41.405815 -21.067674 0,-41.405285 -21.06701 0,-41.405405 -21.066703 0,-41.406066 -21.065473 0,-41.406347 -21.065457 0,-41.406909 -21.065514 0,-41.4073 -21.065208 0,-41.407499 -21.065003 0,-41.409218 -21.065362 0,-41.409488 -21.065209 0,-41.409911 -21.065275 0,-41.410158 -21.065578 0,-41.41043 -21.065676 0,-41.410665 -21.065721 0,-41.410826 -21.065795 0,-41.411104 -21.06603 0,-41.411633 -21.065925 0,-41.412107 -21.065409 0,-41.412225 -21.065509 0,-41.412015 -21.065999 0,-41.41212 -21.066474 0,-41.412986 -21.066272 0,-41.413226 -21.065479 0,-41.413532 -21.06542 0,-41.413778 -21.065082 0,-41.413698 -21.064626 0,-41.413518 -21.064525 0,-41.413614 -21.064202 0,-41.413731 -21.064023 0,-41.415065 -21.063392 0,-41.415449 -21.063423 0))
513320054;1;0;POLYGON ((-46.405792 -21.920179 0,-46.405422 -21.922702 0,-46.40609 -21.923085 0,-46.406061 -21.923965 0,-46.40624 -21.925838 0,-46.404029 -21.926087 0,-46.4037 -21.924185 0,-46.403635 -21.921817 0,-46.402583 -21.92063 0,-46.40287 -21.920216 0,-46.404533 -21.919706 0,-46.405433 -21.919318 0,-46.405787 -21.919317 0,-46.405792 -21.920179 0))
513320055;1;0;POLYGON ((-49.965917 -6.661341 0,-49.971962 -6.659878 0,-49.973221 -6.662293 0,-49.966744 -6.664896 0,-49.965917 -6.661341 0))
513320060;1;0;POLYGON ((-51.970245999999896 -22.037713 0,-51.971082 -22.03504 0,-51.976005 -22.031928 0,-51.976226 -22.033455 0,-51.974787 -22.034962 0,-51.97422 -22.036689 0,-51.974791 -22.037845 0,-51.970245999999896 -22.037713 0))
513320061;1;0;POLYGON ((-52.388231 -25.773287 0,-52.388041 -25.773503 0,-52.387466 -25.773643 0,-52.387093 -25.774003 0,-52.386798 -25.774221 0,-52.38598 -25.773869 0,-52.385502 -25.773516999999899 0,-52.385025 -25.773226 0,-52.384566 -25.772862 0,-52.384068 -25.772159 0,-52.384069 -25.771892 0,-52.384 -25.771571 0,-52.383496 -25.771691 0,-52.382799 -25.771614 0,-52.382768 -25.771916999999899 0,-52.382107 -25.771896 0,-52.381917 -25.771614 0,-52.381864 -25.771196 0,-52.381946 -25.770213 0,-52.382342 -25.769978 0,-52.382259 -25.769573 0,-52.382415 -25.769388 0,-52.383599 -25.769607 0,-52.383617 -25.769801 0,-52.383013 -25.76986 0,-52.382763 -25.770371 0,-52.382411 -25.770564 0,-52.382393 -25.770721 0,-52.382754 -25.770605 0,-52.382773 -25.770982 0,-52.38423 -25.770845 0,-52.384375999999897 -25.770367 0,-52.383777 -25.769806 0,-52.383768 -25.769684 0,-52.384731 -25.769693 0,-52.385957 -25.769748 0,-52.386019 -25.770609 0,-52.386088 -25.771026 0,-52.386223 -25.771391 0,-52.386566 -25.771859 0,-52.387393 -25.772438 0,-52.388231 -25.773287 0))
513320062;1;0;POLYGON ((-53.832098037720002 -25.820333893920001 0,-53.8311791231 -25.821410716140001 0,-53.830663977180002 -25.820286512709998 0,-53.830177961300002 -25.819735940809998 0,-53.831258730450003 -25.818871980090002 0,-53.831552562239999 -25.819088921189898 0,-53.83163726563 -25.819245607620001 0,-53.831660059980003 -25.819636245630001 0,-53.831726123739998 -25.819871862029999 0,-53.831816617779999 -25.82003488929 0,-53.832014126019999 -25.820410911949999 0,-53.83212988735 -25.820279225419998 0,-53.831965170769998 -25.820151672470001 0,-53.831804843539999 -25.819910492679998 0,-53.831735990699997 -25.819732363539899 0,-53.831688387520003 -25.81951918176 0,-53.831646144929998 -25.819107050289901 0,-53.831592945810002 -25.818975221919999 0,-53.831529454440002 -25.818801782049999 0,-53.832798794090003 -25.81786950715 0,-53.833156438940001 -25.818312456360001 0,-53.83325303 -25.819052426460001 0,-53.832098037720002 -25.820333893920001 0))
513320062;1;1;POLYGON ((-53.830171794030001 -25.81973843431 0,-53.829462998959997 -25.819306515499999 0,-53.829021846060002 -25.81921452512 0,-53.828852107869999 -25.81890435088 0,-53.828711794279997 -25.818802734750001 0,-53.82854711953 -25.818796624179999 0,-53.828528274360004 -25.81874183947 0,-53.829659565690001 -25.818185238310001 0,-53.829990632440001 -25.818480617 0,-53.830347593749998 -25.8186040023899 0,-53.830594799999901 -25.818671336200001 0,-53.830775902889897 -25.81871420457 0,-53.83096642572 -25.818770617889999 0,-53.831080572109997 -25.818817151739999 0,-53.83115343459 -25.818873118669998 0,-53.831222802039903 -25.8188644608 0,-53.831352274540002 -25.81872148755 0,-53.83098110772 -25.818508499570001 0,-53.830684617869998 -25.81838747206 0,-53.830453046770003 -25.818291879379998 0,-53.830011497370002 -25.818048106380001 0,-53.831898309880003 -25.817009973280001 0,-53.83224717321 -25.8173379118799 0,-53.832460332749903 -25.81748210136 0,-53.832602478810003 -25.81767006826 0,-53.832802305980003 -25.81786200434 0,-53.831510971550003 -25.818815149870002 0,-53.831422608139903 -25.818769896269998 0,-53.831383284109997 -25.81873603016 0,-53.831250870140003 -25.818876321459999 0,-53.830171794030001 -25.81973843431 0))
513320062;1;2;POLYGON ((-53.797349839390002 -25.817764136739999 0,-53.797155926899997 -25.818118972920001 0,-53.797030462510001 -25.818363218439998 0,-53.796937994159997 -25.81866167491 0,-53.796857921739999 -25.81869180464 0,-53.793861357140003 -25.813997562200001 0,-53.794043630220003 -25.813701106669999 0,-53.79497331516 -25.812675449179999 0,-53.797349839390002 -25.817764136739999 0))
513320062;1;3;POLYGON ((-53.796854837490002 -25.818681815310001 0,-53.796814152380001 -25.818823802490002 0,-53.796795424560003 -25.819386550410002 0,-53.796562595929998 -25.81944464539 0,-53.796325996690001 -25.819375126840001 0,-53.796131918870003 -25.81928959359 0,-53.795421783849903 -25.818873346570001 0,-53.794897343690003 -25.818117130499999 0,-53.794652719920002 -25.817796898939999 0,-53.794417495239998 -25.81745983934 0,-53.794202849340003 -25.817183960160001 0,-53.794010679320003 -25.816934263250001 0,-53.793708697980001 -25.816481888599998 0,-53.7934972200499 -25.815929685650001 0,-53.79353637178 -25.815254156710001 0,-53.793659885419899 -25.814486006309998 0,-53.793839147310003 -25.813978735559999 0,-53.796854837490002 -25.818681815310001 0))
513320062;1;4;POLYGON ((-53.828318621580003 -25.814472016740002 0,-53.828365743329996 -25.814125265769899 0,-53.828121077170003 -25.813588183509999 0,-53.828700836460001 -25.81348788519 0,-53.83016250176 -25.813407999430002 0,-53.83127964653 -25.813386838300001 0,-53.832025049569999 -25.813484140869999 0,-53.832808246 -25.81378401561 0,-53.833273671129902 -25.81407936087 0,-53.833815494279897 -25.814476453960001 0,-53.834553934059997 -25.8147946108 0,-53.835952099099998 -25.815381467280002 0,-53.836304689930003 -25.815515806019999 0,-53.836815122049998 -25.81570722356 0,-53.836871290369999 -25.815789738020001 0,-53.835973837529998 -25.815892686830001 0,-53.835045890010001 -25.815910098450001 0,-53.83414615089 -25.815930129569999 0,-53.833399745969999 -25.815269400559998 0,-53.83281163945 -25.814856637959998 0,-53.832343286239997 -25.814563909979999 0,-53.831695543450003 -25.814328367569999 0,-53.831047934970002 -25.814250479110001 0,-53.829678192229999 -25.814303437780001 0,-53.828318621580003 -25.814472016740002 0))
