time,goes_pixels
2019-08-01 00:10:00,7151
2019-08-01 00:20:00,7138
2019-08-01 00:30:00,7129
2019-08-01 00:40:00,7125
2019-08-01 00:50:00,7111
2019-08-01 01:00:00,7093
2019-08-01 01:10:00,7088
2019-08-01 01:20:00,7084
2019-08-01 01:30:00,7070
2019-08-01 01:40:00,7061
2019-08-01 01:50:00,7056
2019-08-01 02:00:00,7052
2019-08-01 02:10:00,7042
2019-08-01 02:20:00,7023
2019-08-01 02:30:00,7009
2019-08-01 02:40:00,7019
2019-08-01 02:50:00,6995
2019-08-01 03:00:00,7000
2019-08-01 03:10:00,6995
2019-08-01 03:20:00,6976
2019-08-01 03:30:00,6976
2019-08-01 03:40:00,6985
2019-08-01 03:50:00,6976
2019-08-01 04:00:00,6956
2019-08-01 04:10:00,6946
2019-08-01 04:20:00,6927
2019-08-01 04:30:00,6927
2019-08-01 04:40:00,6907
2019-08-01 04:50:00,6892
2019-08-01 05:00:00,6783
2019-08-01 05:10:00,6600
2019-08-01 05:20:00,6606
2019-08-01 05:30:00,6634
2019-08-01 05:40:00,6588
2019-08-01 05:50:00,6640
2019-08-01 06:00:00,6564
2019-08-01 06:10:00,6646
2019-08-01 06:20:00,6668
2019-08-01 06:30:00,6588
2019-08-01 06:40:00,6718
2019-08-01 06:50:00,6830
2019-08-01 07:00:00,6799
2019-08-01 07:10:00,6729
2019-08-01 07:20:00,6740
2019-08-01 07:30:00,6746
2019-08-01 07:40:00,6685
2019-08-01 07:50:00,6815
2019-08-01 08:00:00,6799
2019-08-01 08:10:00,6794
2019-08-01 08:20:00,6746
2019-08-01 08:30:00,6541
2019-08-01 08:40:00,6629
2019-08-01 08:50:00,6778
2019-08-01 09:00:00,6794
2019-08-01 09:10:00,6762
2019-08-01 09:20:00,6767
2019-08-01 09:30:00,6836
2019-08-01 09:40:00,6856
2019-08-01 09:50:00,6917
2019-08-01 10:00:00,6946
2019-08-01 10:10:00,7019
2019-08-01 10:20:00,7102
2019-08-01 10:30:00,7178
2019-08-01 10:40:00,7247
2019-08-01 10:50:00,7314
2019-08-01 11:00:00,7378
2019-08-01 11:10:00,7472
2019-08-01 11:20:00,7561
2019-08-01 11:30:00,7651
2019-08-01 11:40:00,7737
2019-08-01 11:50:00,7830
2019-08-01 12:00:00,7909
2019-08-01 12:10:00,7986
2019-08-01 12:20:00,8060
2019-08-01 12:30:00,8120
2019-08-01 12:40:00,8196
2019-08-01 12:50:00,8245
2019-08-01 13:00:00,8301
2019-08-01 13:10:00,8355
2019-08-01 13:20:00,8424
2019-08-01 13:30:00,8468
2019-08-01 13:40:00,8522
2019-08-01 13:50:00,8602
2019-08-01 14:00:00,8659
2019-08-01 14:10:00,8728
2019-08-01 14:20:00,8763
2019-08-01 14:30:00,8825
2019-08-01 14:40:00,8864
2019-08-01 14:50:00,8920
2019-08-01 15:00:00,8972
2019-08-01 15:10:00,9013
2019-08-01 15:20:00,9039
2019-08-01 15:30:00,9060
2019-08-01 15:40:00,9075
2019-08-01 15:50:00,9096
2019-08-01 16:00:00,9119
2019-08-01 16:10:00,9132
2019-08-01 16:20:00,9073
2019-08-01 16:30:00,9098
2019-08-01 16:40:00,9148
2019-08-01 16:50:00,9147
2019-08-01 17:00:00,9071
2019-08-01 17:10:00,9073
2019-08-01 17:20:00,9069
2019-08-01 17:30:00,8954
2019-08-01 17:40:00,8956
2019-08-01 17:50:00,8829
2019-08-01 18:00:00,8760
2019-08-01 18:10:00,8581
2019-08-01 18:20:00,8602
2019-08-01 18:30:00,8674
2019-08-01 18:40:00,8578
2019-08-01 18:50:00,8485
2019-08-01 19:00:00,8495
2019-08-01 19:10:00,8446
2019-08-01 19:20:00,8384
2019-08-01 19:30:00,8311
2019-08-01 19:40:00,8231
2019-08-01 19:50:00,8154
2019-08-01 20:00:00,8086
2019-08-01 20:10:00,8013
2019-08-01 20:20:00,7928
2019-08-01 20:30:00,7833
2019-08-01 20:40:00,7737
2019-08-01 20:50:00,7637
