time,goes_pixels
2024-02-01 00:00:00,26596
2024-02-01 00:01:00,27447
2024-02-01 00:02:00,27705
2024-02-01 00:03:00,27476
2024-02-01 00:04:00,27784
2024-02-01 00:05:00,24503
2024-02-01 00:06:00,23381
2024-02-01 00:07:00,23812
2024-02-01 00:08:00,25490
2024-02-01 00:09:00,25820
2024-02-01 00:10:00,25093
2024-02-01 00:11:00,23018
2024-02-01 00:12:00,22812
2024-02-01 00:13:00,23208
2024-02-01 00:14:00,24147
2024-02-01 00:15:00,25362
2024-02-01 00:16:00,27729
2024-02-01 00:17:00,27932
2024-02-01 00:18:00,26815
2024-02-01 00:19:00,26527
2024-02-01 00:20:00,23866
2024-02-01 00:21:00,23706
2024-02-01 00:22:00,23921
2024-02-01 00:23:00,25888
2024-02-02 00:00:00,28594
2024-02-02 00:01:00,28437
2024-02-02 00:02:00,28582
2024-02-02 00:03:00,28275
2024-02-02 00:04:00,28186
2024-02-02 00:05:00,27848
2024-02-02 00:06:00,27910
2024-02-02 00:07:00,25895
2024-02-02 00:08:00,25134
2024-02-02 00:09:00,25496
2024-02-02 00:10:00,26065
2024-02-02 00:11:00,27304
2024-02-02 00:12:00,24530
2024-02-02 00:13:00,24738
2024-02-02 00:14:00,27914
2024-02-02 00:15:00,28113
2024-02-02 00:16:00,28248
2024-02-02 00:17:00,27550
2024-02-02 00:18:00,27401
2024-02-02 00:19:00,28286
2024-02-02 00:20:00,27542
2024-02-02 00:21:00,26886
2024-02-02 00:22:00,27452
2024-02-02 00:23:00,28234
2024-02-03 00:00:00,28222
2024-02-03 00:01:00,28262
2024-02-03 00:02:00,28252
2024-02-03 00:03:00,28242
2024-02-03 00:04:00,27691
2024-02-03 00:05:00,27666
2024-02-03 00:06:00,27614
2024-02-03 00:07:00,28163
2024-02-03 00:08:00,27969
2024-02-03 00:09:00,28235
2024-02-03 00:10:00,28065
2024-02-03 00:11:00,28174
2024-02-03 00:12:00,27821
2024-02-03 00:13:00,27493
2024-02-03 00:14:00,27568
2024-02-03 00:15:00,27505
2024-02-03 00:16:00,27405
2024-02-03 00:17:00,27262
2024-02-03 00:18:00,27976
2024-02-03 00:19:00,28406
2024-02-03 00:20:00,28319
2024-02-03 00:21:00,27925
2024-02-03 00:22:00,26512
2024-02-03 00:23:00,26099
2024-02-04 00:00:00,25747
2024-02-04 00:01:00,26810
2024-02-04 00:02:00,26400
2024-02-04 00:03:00,24137
2024-02-04 00:04:00,23871
2024-02-04 00:05:00,25097
2024-02-04 00:06:00,25068
2024-02-04 00:07:00,26078
2024-02-04 00:08:00,26680
2024-02-04 00:09:00,27465
2024-02-04 00:10:00,27629
2024-02-04 00:11:00,28005
2024-02-04 00:12:00,27459
2024-02-04 00:13:00,27744
2024-02-04 00:14:00,28939
2024-02-04 00:15:00,29079
2024-02-04 00:16:00,28905
2024-02-04 00:17:00,28558
2024-02-04 00:18:00,28070
2024-02-04 00:19:00,28255
2024-02-04 00:20:00,28027
2024-02-04 00:21:00,28186
2024-02-04 00:22:00,28249
2024-02-04 00:23:00,28282
2024-02-05 00:00:00,28529
2024-02-05 00:01:00,28177
2024-02-05 00:02:00,26218
2024-02-05 00:03:00,26115
2024-02-05 00:04:00,26048
2024-02-05 00:05:00,26362
2024-02-05 00:06:00,26244
2024-02-05 00:07:00,26259
2024-02-05 00:08:00,26542
2024-02-05 00:09:00,27414
2024-02-05 00:10:00,27897
2024-02-05 00:11:00,28318
2024-02-05 00:12:00,28225
2024-02-05 00:13:00,28580
2024-02-05 00:14:00,28246
2024-02-05 00:15:00,27618
2024-02-05 00:16:00,27742
2024-02-05 00:17:00,28329
2024-02-05 00:18:00,27965
2024-02-05 00:19:00,28212
2024-02-05 00:20:00,28099
2024-02-05 00:21:00,27573
2024-02-05 00:22:00,26783
2024-02-05 00:23:00,28166
2024-02-06 00:00:00,27525
2024-02-06 00:01:00,27995
2024-02-06 00:02:00,27312
2024-02-06 00:03:00,25345
2024-02-06 00:04:00,25428
2024-02-06 00:05:00,27166
2024-02-06 00:06:00,26372
2024-02-06 00:07:00,26691
2024-02-06 00:08:00,26569
2024-02-06 00:09:00,26535
2024-02-06 00:10:00,26396
2024-02-06 00:11:00,26240
2024-02-06 00:12:00,25574
2024-02-06 00:13:00,26113
2024-02-06 00:14:00,28112
2024-02-06 00:15:00,28187
2024-02-06 00:16:00,28197
